dataset_id	concept_id_1	concept_id_2	concept_count	concept_prevalence	chi_square_t	chi_square_p	expected_count	ln_ratio	rel_freq_1	rel_freq_2
1	8527	981807	17	9.494920e-06	8.175289e+00	4.246491e-03	9.347582e+00	5.980957e-01	4.063049e-05	4.250000e-01
1	8527	984237	17	9.494920e-06	4.301011e+00	3.808972e-02	1.098341e+01	4.368275e-01	4.063049e-05	3.617021e-01
1	8527	997881	17	9.494920e-06	6.064371e+00	1.379359e-02	2.851012e+01	-5.170459e-01	4.063049e-05	1.393443e-01
1	8527	906904	18	1.005345e-05	1.538849e+01	8.751980e-05	8.179134e+00	7.887855e-01	4.302052e-05	5.142857e-01
1	8527	917377	18	1.005345e-05	1.045155e+01	1.225466e-03	9.347582e+00	6.552541e-01	4.302052e-05	4.500000e-01
1	8527	930748	18	1.005345e-05	1.320415e+01	2.793305e-04	8.646513e+00	7.332156e-01	4.302052e-05	4.864865e-01
1	8527	950220	18	1.005345e-05	5.902586e+01	1.556131e-14	4.206412e+00	1.453762e+00	4.302052e-05	1.000000e+00
1	8527	951498	18	1.005345e-05	4.197025e+01	9.267275e-11	5.141170e+00	1.253091e+00	4.302052e-05	8.181818e-01
1	8527	980502	18	1.005345e-05	4.197025e+01	9.267275e-11	5.141170e+00	1.253091e+00	4.302052e-05	8.181818e-01
1	8527	915666	19	1.061197e-05	5.977077e+00	1.449300e-02	1.168448e+01	4.861778e-01	4.541055e-05	3.800000e-01
1	8527	917180	19	1.061197e-05	5.491482e+00	1.910934e-02	1.191817e+01	4.663751e-01	4.541055e-05	3.725490e-01
1	8527	923541	19	1.061197e-05	7.161444e+01	2.616347e-17	8.880203e+01	-1.541970e+00	4.541055e-05	5.000000e-02
1	8527	974885	19	1.061197e-05	3.487016e+00	6.185198e-02	1.308661e+01	3.728491e-01	4.541055e-05	3.392857e-01
1	8527	974887	19	1.061197e-05	3.160422e+00	7.544366e-02	1.332030e+01	3.551495e-01	4.541055e-05	3.333333e-01
1	8527	919010	20	1.117049e-05	1.900159e+00	1.680606e-01	2.617323e+01	-2.690048e-01	4.780058e-05	1.785714e-01
1	8527	924143	20	1.117049e-05	1.286062e+01	3.355693e-04	1.004865e+01	6.882939e-01	4.780058e-05	4.651163e-01
1	8527	938002	20	1.117049e-05	1.301254e+01	3.094119e-04	3.996091e+01	-6.921695e-01	4.780058e-05	1.169591e-01
1	8527	953076	20	1.117049e-05	4.766099e+00	2.902552e-02	1.308661e+01	4.241424e-01	4.780058e-05	3.571429e-01
1	8527	992612	20	1.117049e-05	1.696860e+01	3.800310e-05	9.113892e+00	7.859324e-01	4.780058e-05	5.128205e-01
1	8527	902430	21	1.172902e-05	7.818951e+00	5.170119e-03	1.238555e+01	5.279923e-01	5.019060e-05	3.962264e-01
1	8527	904546	21	1.172902e-05	4.463391e+01	2.375414e-11	6.309618e+00	1.202447e+00	5.019060e-05	7.777778e-01
1	8527	948078	21	1.172902e-05	3.190740e+01	1.616999e-08	7.478065e+00	1.032548e+00	5.019060e-05	6.562500e-01
1	8527	968170	21	1.172902e-05	3.190740e+01	1.616999e-08	7.478065e+00	1.032548e+00	5.019060e-05	6.562500e-01
1	8527	902736	22	1.228754e-05	2.863655e+01	8.731855e-08	8.412824e+00	9.612853e-01	5.258063e-05	6.111111e-01
1	8527	903228	22	1.228754e-05	4.418611e+01	2.985927e-11	7.104162e+01	-1.172223e+00	5.258063e-05	7.236842e-02
1	8527	915669	22	1.228754e-05	1.742592e+01	2.987242e-05	1.028234e+01	7.606146e-01	5.258063e-05	5.000000e-01
1	8527	919347	22	1.228754e-05	2.377630e+01	1.082064e-06	9.113892e+00	8.812426e-01	5.258063e-05	5.641026e-01
1	8527	942350	22	1.228754e-05	2.863655e+01	8.731855e-08	8.412824e+00	9.612853e-01	5.258063e-05	6.111111e-01
1	8527	907014	23	1.284607e-05	2.311425e+01	1.526555e-06	9.814961e+00	8.515864e-01	5.497066e-05	5.476190e-01
1	8527	929153	23	1.284607e-05	3.519149e+00	6.066360e-02	1.635827e+01	3.407608e-01	5.497066e-05	3.285714e-01
1	8527	904597	24	1.340459e-05	9.871129e+00	1.678924e-03	1.378768e+01	5.542782e-01	5.736069e-05	4.067797e-01
1	8527	965719	24	1.340459e-05	6.223680e+00	1.260529e-02	1.542351e+01	4.421609e-01	5.736069e-05	3.636364e-01
1	8527	987245	24	1.340459e-05	6.223680e+00	1.260529e-02	1.542351e+01	4.421609e-01	5.736069e-05	3.636364e-01
1	8527	997972	24	1.340459e-05	3.557765e+01	2.450833e-09	8.646513e+00	1.020898e+00	5.736069e-05	6.486486e-01
